cell id, time, volume, plasmid_bfp, bfp, 
0, 0.02, 1.5701, 188.72, 0, 
1, 0.02, 1.57, 276.63, 0, 
2, 0.02, 1.57004, 125.42, 0, 
3, 0.02, 1.57003, 255.87, 0, 
4, 0.02, 1.57003, 156.815, 0, 
5, 0.02, 1.57012, 277.21, 0, 
6, 0.02, 1.57, 255.03, 0, 
7, 0.02, 1.57005, 145.545, 0, 
8, 0.02, 1.57002, 161.515, 0, 
9, 0.02, 1.57002, 190.195, 0, 
0, 5.02, 1.91229, 188.72, 139, 
1, 5.02, 1.90597, 276.63, 196, 
2, 5.02, 1.92558, 125.42, 95, 
3, 5.02, 1.91538, 255.87, 159, 
4, 5.02, 1.92153, 156.815, 101, 
5, 5.02, 1.91113, 277.21, 181, 
6, 5.02, 1.9164, 255.03, 143, 
7, 5.02, 1.90901, 145.545, 95, 
8, 5.02, 1.92577, 161.515, 118, 
9, 5.02, 1.91555, 190.195, 120, 
0, 10.02, 2.32419, 188.72, 288, 
1, 10.02, 2.31478, 276.63, 434, 
2, 10.02, 2.35971, 125.42, 207, 
3, 10.02, 2.34528, 255.87, 401, 
4, 10.02, 2.35079, 156.815, 231, 
5, 10.02, 2.32976, 277.21, 398, 
6, 10.02, 2.33532, 255.03, 327, 
7, 10.02, 2.33313, 145.545, 203, 
8, 10.02, 2.34953, 161.515, 256, 
9, 10.02, 2.34331, 190.195, 287, 
0, 15.02, 2.83305, 188.72, 463, 
1, 15.02, 2.83659, 276.63, 697, 
2, 15.02, 2.87548, 125.42, 324, 
3, 15.02, 2.8589, 255.87, 661, 
4, 15.02, 2.87261, 156.815, 370, 
5, 15.02, 2.86302, 277.21, 663, 
6, 15.02, 2.86285, 255.03, 572, 
7, 15.02, 2.84897, 145.545, 335, 
8, 15.02, 2.8585, 161.515, 392, 
9, 15.02, 2.86815, 190.195, 459, 
0, 20.02, 3.46436, 188.72, 666, 
1, 20.02, 3.45423, 276.63, 951, 
2, 20.02, 3.51699, 125.42, 460, 
3, 20.02, 1.73717, 127.108, 453, 
4, 20.02, 1.67352, 75.1988, 261, 
5, 20.02, 3.51222, 277.21, 963, 
6, 20.02, 1.72565, 126.189, 365, 
7, 20.02, 3.47422, 145.545, 501, 
8, 20.02, 3.49145, 161.515, 590, 
9, 20.02, 3.4915, 190.195, 666, 
10, 20.02, 1.75774, 128.841, 363, 
11, 20.02, 1.75438, 128.762, 441, 
