cell id,time,volume,plasmid_bfp,plasmid_yfp,plasmid_rfp,bfp,yfp,rfp,
0, 0.02, 1.57034, 190.38, 190.38, 190.38, 0, 0, 0,
1, 0.02, 1.57, 128.88, 128.88, 128.88, 0, 0, 0,
2, 0.02, 1.57, 255.87, 255.87, 255.87, 1, 1, 0,
3, 0.02, 1.57005, 146.92, 146.92, 146.92, 0, 1, 1,
4, 0.02, 1.57, 146.92, 146.92, 146.92, 0, 0, 0,
5, 0.02, 1.57, 201.63, 201.63, 201.63, 0, 0, 0,
6, 0.02, 1.57013, 144.325, 144.325, 144.325, 0, 0, 0,
7, 0.02, 1.57002, 139.295, 139.295, 139.295, 0, 0, 0,
8, 0.02, 1.57001, 255.03, 255.03, 255.03, 0, 0, 1,
9, 0.02, 1.57011, 162.885, 162.885, 162.885, 1, 0, 0,
0, 5.02, 1.95111, 190.38, 190.38, 190.38, 360, 362, 380,
1, 5.02, 1.95156, 128.88, 128.88, 128.88, 216, 259, 267,
2, 5.02, 1.96476, 255.87, 255.87, 255.87, 525, 531, 496,
3, 5.02, 1.95685, 146.92, 146.92, 146.92, 322, 299, 283,
4, 5.02, 1.95796, 146.92, 146.92, 146.92, 281, 290, 285,
5, 5.02, 1.95565, 201.63, 201.63, 201.63, 363, 414, 378,
6, 5.02, 1.95862, 144.325, 144.325, 144.325, 281, 281, 251,
7, 5.02, 1.96259, 139.295, 139.295, 139.295, 271, 238, 278,
8, 5.02, 1.96144, 255.03, 255.03, 255.03, 524, 490, 471,
9, 5.02, 1.9558, 162.885, 162.885, 162.885, 306, 345, 315,
0, 10.02, 2.44598, 190.38, 190.38, 190.38, 755, 783, 840,
1, 10.02, 2.43681, 128.88, 128.88, 128.88, 479, 551, 535,
2, 10.02, 2.4493, 255.87, 255.87, 255.87, 1061, 1152, 1075,
3, 10.02, 2.44001, 146.92, 146.92, 146.92, 657, 622, 592,
4, 10.02, 2.44477, 146.92, 146.92, 146.92, 634, 595, 644,
5, 10.02, 2.4397, 201.63, 201.63, 201.63, 794, 846, 875,
6, 10.02, 2.44093, 144.325, 144.325, 144.325, 567, 585, 580,
7, 10.02, 2.42743, 139.295, 139.295, 139.295, 598, 543, 590,
8, 10.02, 2.44521, 255.03, 255.03, 255.03, 1090, 990, 1019,
9, 10.02, 2.44609, 162.885, 162.885, 162.885, 664, 683, 684,
0, 15.02, 3.06761, 190.38, 190.38, 190.38, 1242, 1273, 1319,
1, 15.02, 3.03713, 128.88, 128.88, 128.88, 814, 875, 829,
2, 15.02, 3.06395, 255.87, 255.87, 255.87, 1684, 1810, 1687,
3, 15.02, 3.05154, 146.92, 146.92, 146.92, 1032, 946, 947,
4, 15.02, 3.04776, 146.92, 146.92, 146.92, 1007, 992, 1007,
5, 15.02, 3.04806, 201.63, 201.63, 201.63, 1307, 1303, 1379,
6, 15.02, 3.04221, 144.325, 144.325, 144.325, 927, 928, 942,
7, 15.02, 3.03183, 139.295, 139.295, 139.295, 968, 907, 878,
8, 15.02, 3.06078, 255.03, 255.03, 255.03, 1749, 1625, 1706,
9, 15.02, 3.0387, 162.885, 162.885, 162.885, 1078, 1097, 1120,
0, 20.02, 1.93045, 96.2431, 96.2431, 96.2431, 835, 865, 912,
1, 20.02, 3.78536, 128.88, 128.88, 128.88, 1225, 1222, 1206,
2, 20.02, 3.82698, 255.87, 255.87, 255.87, 2444, 2520, 2475,
3, 20.02, 2.07629, 79.851, 79.851, 79.851, 753, 704, 716,
4, 20.02, 3.78273, 146.92, 146.92, 146.92, 1400, 1413, 1437,
5, 20.02, 1.88085, 100.164, 100.164, 100.164, 907, 874, 935,
6, 20.02, 3.77942, 144.325, 144.325, 144.325, 1370, 1329, 1373,
7, 20.02, 1.97472, 72.5372, 72.5372, 72.5372, 666, 640, 621,
8, 20.02, 1.97782, 132.987, 132.987, 132.987, 1088, 1026, 1113,
9, 20.02, 1.81716, 78.2474, 78.2474, 78.2474, 678, 686, 685,
10, 20.02, 1.8273, 122.043, 122.043, 122.043, 984, 911, 959,
11, 20.02, 1.9643, 84.6376, 84.6376, 84.6376, 732, 764, 762,
12, 20.02, 1.89192, 94.1369, 94.1369, 94.1369, 813, 840, 870,
13, 20.02, 1.73988, 67.069, 67.069, 67.069, 627, 601, 594,
14, 20.02, 1.81345, 66.7578, 66.7578, 66.7578, 615, 580, 575,
15, 20.02, 1.90975, 101.466, 101.466, 101.466, 902, 922, 941,
0, 25.02, 2.41149, 96.2431, 96.2431, 96.2431, 994, 928, 1010,
1, 25.02, 2.30523, 62.9939, 62.9939, 62.9939, 669, 651, 658,
2, 25.02, 2.54101, 136.131, 136.131, 136.131, 1530, 1581, 1600,
3, 25.02, 2.58916, 79.851, 79.851, 79.851, 867, 830, 835,
4, 25.02, 2.23799, 69.4885, 69.4885, 69.4885, 864, 858, 860,
5, 25.02, 2.34297, 100.164, 100.164, 100.164, 1047, 993, 1036,
6, 25.02, 2.15657, 65.7408, 65.7408, 65.7408, 715, 723, 700,
7, 25.02, 2.46822, 72.5372, 72.5372, 72.5372, 735, 742, 712,
8, 25.02, 2.4718, 132.987, 132.987, 132.987, 1291, 1214, 1287,
9, 25.02, 2.2682, 78.2474, 78.2474, 78.2474, 768, 753, 777,
10, 25.02, 2.29108, 122.043, 122.043, 122.043, 1152, 1045, 1123,
